breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"Papillon","Butterfly Dog, Squirrel Dog, Phal?ne, Epagneul Nain, Phal?ne (Drop Ear Type), Continental Toy Spaniel, Epagneul Nain Continental","Small","13-16 years","Male: 8-11 inches (20-28 cm)","Female: 8-11 inches (20-28 cm)","Average $400 - $600 USD","5 stars","3 stars","5 stars","4 stars","5 stars","2 stars","5 stars","3 stars","3 stars","5 stars","5 stars","1 stars","5 stars","5 stars"
"Australian Cattle Dog","Queensland Heeler, Blue Heeler, Hall's Heeler, ACD, Cattle Dog, Red Heeler","Medium","12-15 years","Male: 17-20 inches (43-51 cm)","Female: 17-19 inches (43-48 cm)","Average $500 - $700 USD","3 stars","1 stars","2 stars","5 stars","3 stars","3 stars","5 stars","1 stars","3 stars","5 stars","5 stars","3 stars","2 stars","5 stars"
"Airedale Terrier","Waterside Terrier, Bingley Terrier, Irish Red Terrier","Medium","10-13 years","Male: 22-24 inches (56-61 cm)","Female: 22-23 inches (56-58 cm)","Average $600 - $800 USD","5 stars","3 stars","3 stars","4 stars","1 stars","1 stars","4 stars","4 stars","2 stars","5 stars","5 stars","2 stars","2 stars","3 stars"
"English Cocker Spaniel","Cocker, Merry Cocker Woker","Medium","12-14 years","Male: 15-17 inches (38-43 cm)","Female: 14-16 inches (36-41 cm)","Average $900 - $1200 USD","5 stars","5 stars","3 stars","5 stars","4 stars","5 stars","4 stars","3 stars","3 stars","5 stars","4 stars","3 stars","3 stars","5 stars"
"Bull Terrier","English Bull Terrier, Bully, Gladiator","Medium","10-12 years","20-24 inches (51-61 cm)","","Average $1200 - $1500 USD","4 stars","3 stars","2 stars","4 stars","2 stars","2 stars","4 stars","1 stars","5 stars","3 stars","5 stars","3 stars","4 stars","2 stars"
"Scottish Terrier","Scottie, Aberdeenie","Small","11-13 years","10-11 inches (25-28 cm)","","Average $800 - $1000 USD","3 stars","5 stars","1 stars","4 stars","3 stars","2 stars","3 stars","3 stars","4 stars","4 stars","3 stars","1 stars","3 stars","3 stars"
"Alaskan Malamute","Mal, Mally","Large","12-15 years","Male: 24 - 26 inches (61 - 66 cm)","Female: 22 - 24 inches (56 - 61 cm)","Average $1200 - $1500 USD","3 stars","1 stars","4 stars","4 stars","1 stars","1 stars","4 stars","3 stars","3 stars","4 stars","4 stars","5 stars","4 stars","4 stars"
"Whippet","English Whippet, Snap Dog","Medium","12-15 years","Male: 19 - 22 inches (47 - 56 cm)","Female: 18 - 21 inches (44 - 54 cm)","Average $800 - $1200 USD","5 stars","5 stars","1 stars","4 stars","1 stars","3 stars","3 stars","1 stars","3 stars","4 stars","3 stars","2 stars","3 stars","3 stars"
"Chinese Shar-Pei","Chinese Fighting Dog","Medium","8-10 years","18-20 inches (46-51 cm)","","Average $1000 - $1200 USD","3 stars","4 stars","1 stars","1 stars","3 stars","2 stars","2 stars","3 stars","5 stars","4 stars","3 stars","1 stars","1 stars","3 stars"
"Dogue de Bordeaux","French Mastiff, Bordeaux Mastiff, Bordeauxdog","Large","10-12 years","23-30 inches (58-75 cm)","","Average $1000 - $1300 USD","3 stars","2 stars","2 stars","4 stars","4 stars","4 stars","2 stars","2 stars","5 stars","2 stars","2 stars","3 stars","4 stars","4 stars"
"German Wirehaired Pointer","Deutscher Drahthaariger, Vorstehund, German Pointer (Wirehaired), Drahthaar","Medium","12-14 years","Male: 24-26 inches (60-67 cm)","Female: 22-24 inches (56-62 cm)","Average $700 - $900 USD","5 stars","1 stars","3 stars","3 stars","1 stars","5 stars","5 stars","3 stars","2 stars","4 stars","4 stars","3 stars","4 stars","4 stars"
"Samoyed","Samoyedskaya, Bjelkier, Samoiedskaya Sobaka, Nenetskaya Laika, Smiley, Sammy","Medium","12-14 years","Male: 21-23.5 inches (53-60 cm)","Female: 19-21 inches (48-53 cm)","Average $1200 - $1500 USD","4 stars","3 stars","3 stars","5 stars","3 stars","4 stars","4 stars","4 stars","3 stars","4 stars","4 stars","4 stars","3 stars","3 stars"
"Dalmatian","Dal, Dally, Carriage Dog, Spotted Coach Dog, Firehouse Dog, Plum Pudding Dog","Large","12-14 years","Male: 22 - 24 inches (50 ? 60 cm)","Female: 20 - 22 inches (50 - 55 cm)","Average $700 - $900 USD","5 stars","1 stars","3 stars","5 stars","3 stars","5 stars","5 stars","1 stars","4 stars","4 stars","5 stars","5 stars","3 stars","4 stars"
"Wirehaired Pointing Griffon","Korthals Griffon, Griffon D'arr?t ? Poil Dur, Korthals","Medium","12-14 years","20-24 inches (50-60 cm)","","Average $600 - $800 USD","3 stars","2 stars","3 stars","4 stars","3 stars","4 stars","4 stars","3 stars","2 stars","4 stars","4 stars","1 stars","3 stars","4 stars"
"Great Pyrenees","Great Pyrenees, Patou, Chien Des Pyr?n?es, Chien De Montagne Des Pyr?n?es, Monta??s Del Pirineo, Gos De Muntanya Dels Pirineus","Giant","10-12 years","Male: 27-32 inches (69-81 cm)","Female: 25-29 inches (63-74 cm)","Average $700 - $900 USD","4 stars","2 stars","4 stars","4 stars","4 stars","3 stars","2 stars","3 stars","5 stars","3 stars","2 stars","4 stars","2 stars","2 stars"
"Miniature Pinscher","Min Pin, King Of The Toys, Reh Pinscher, Zwergpinsc","Small","12-15 years","Male: 10-12 inches (25-30 cm)","Female: 10-11 inches (25-28 cm)","Average $400 - $600 USD","5 stars","4 stars","5 stars","4 stars","3 stars","2 stars","2 stars","1 stars","2 stars","4 stars","5 stars","3 stars","2 stars","4 stars"
