breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"English Shepherd","Farm Collie (This name is also used for the Scotch Collie)","Medium","12-15 years","18-23 inches (46-58 cm)","","Average $800 - $1000 USD","4 stars","2 stars","2 stars","4 stars","4 stars","4 stars","5 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","4 stars"
"Eurasier","Eurasian, Eurasian Spitz, Eurasian Dog","Medium","11-13 years","Male: 20-24 inches (52-60 cm)","Female: 16-18 inches (48-56 cm)","Average $800 - $1000 USD","5 stars","5 stars","3 stars","4 stars","4 stars","5 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","1 stars","3 stars"
"Fila Brasileiro","Brazilian Mastiff, Brazilian Molosser, C?o de Fila","Large","9-11 years","Male: 26?30 inches (65?75 cm)","Female: 24?28 inches (60?70 cm)","Average $1000 - $1300 USD","3 stars","1 stars","2 stars","2 stars","1 stars","1 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","1 stars","3 stars"
"Finnish Hound","Suomenajokoira, Finnish Bracke","Medium","10-12 years","20-24 inches (52-61 cm)","","Average $600 - $800 USD","3 stars","1 stars","2 stars","4 stars","3 stars","3 stars","4 stars","2 stars","2 stars","3 stars","2 stars","3 stars","3 stars","3 stars"
"French Spaniel","Epagneul Fran?ais, French Setter, Canadian Setter","Medium","10-12 years","Male: 22-24 inches (55-61 cm)","Female: 21-23 inches (54-59 cm)","Average $600 - $800 USD","3 stars","1 stars","2 stars","4 stars","3 stars","4 stars","4 stars","2 stars","2 stars","3 stars","3 stars","5 stars","3 stars","1 stars"
"Francais Blanc et Noir","Chien Francais Blanc Et Noir","Large","10-12 years","Male: 26?28 inches (65?72 cm)","Female: 24?27 inches (62?68 cm)","Average $500 - $700 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Jagdterrier","Deutscher Jagdterrier, German Jagdterrier, German Hunting Terrier, German Hunt Terrier","Medium","12-15 years","13?16 inches (33?40 cm)","","Average $300 - $500 USD","3 stars","4 stars","2 stars","4 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"German Longhaired Pointer","Deutscher Langhaariger, Deutscher Langhaariger Vorstehhund, Pointer (German Longhaired), Langhaar, GLP","Large","10-12 years","Male: 24?28 inches (60?70 cm)","Female: 23?26 inches (58?66 cm)","Average $600 - $800 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Goldendoodle","Curly Golden, Curly Retriever, Goldenpoo","Small","10-15 years","13-24 inches (33-61 cm)","","Average $600 - $800 USD","5 stars","5 stars","3 stars","5 stars","4 stars","5 stars","4 stars","5 stars","4 stars","3 stars","4 stars","3 stars","5 stars","5 stars"
"Polish Hunting Dog","Polish Scenthound, Go?czy Polski","Medium","10-13 years","Male: 22?26 inches (55?66 cm)","Female: 20?24 inches (50?61 cm)","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Grand Basset Griffon Vendeen","Basset Griffon Vend?en (Grand), GBGV","Medium","12-15 years","Male: 15?18 inches (39?45 cm)","Female: 15?17 inches (38?44 cm)","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Greenland Dog","Gronlandshunden, Greenland Husky","Medium","12-14 years","22-25 inches (56-64 cm)","","Average $500 - $800 USD","3 stars","2 stars","0 stars","4 stars","4 stars","4 stars","4 stars","1 stars","3 stars","2 stars","3 stars","0 stars","3 stars","0 stars"
"Griffon bleu de Gascogne","None","Medium","12-15 years","Males: 19.5-22.5 inches","Female: 19-21.5 inches","Average $400 - $500 USD","4 stars","2 stars","4 stars","4 stars","3 stars","3 stars","4 stars","2 stars","2 stars","2 stars","3 stars","0 stars","4 stars","0 stars"
"Large Munsterlander","Grosser Munsterlander Vorstehhund, Vorstehhund","Large","11-13 years","23-25.5 inches (58-65 cm)","","Average $400 - $500 USD","5 stars","1 stars","3 stars","5 stars","3 stars","5 stars","5 stars","3 stars","2 stars","3 stars","5 stars","3 stars","3 stars","5 stars"
"Hamilton Hound","Hamiltonstovare, Swedish Foxhound","Medium","11-13 years","Female: 18 - 22.5 inches (46 - 57 cm)","Male: 19.5 - 23.5 inches (50 - 60 cm)","Average $400 - $500 USD","4 stars","4 stars","3 stars","4 stars","3 stars","4 stars","3 stars","1 stars","3 stars","3 stars","3 stars","1 stars","3 stars","3 stars"
"Hokkaido Dog","Ainu dog, D?-ken, Ainu-ken, Seta","Medium","11-13 years","18-22 inches (46-56 cm)","","Average $300 - $400 USD","3 stars","1 stars","3 stars","4 stars","3 stars","4 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Hovawart","Hovie","Medium","10-14 years","23 - 28 inches (58 - 70 cm)","","Average $1000 - $1200 USD","5 stars","1 stars","2 stars","4 stars","3 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","2 stars","4 stars"
"J?mthund","Swedish Elkhound","Medium","11-14 years","22?26 inches (57?65 cm)","","?","3 stars","2 stars","0 stars","0 stars","0 stars","0 stars","0 stars","3 stars","0 stars","3 stars","0 stars","0 stars","0 stars","0 stars"
"Japanese Spitz","None","Small","10-16 years","12-15 inches (30-38 cm)","","Average $500 - $800 USD","4 stars","4 stars","5 stars","5 stars","4 stars","4 stars","3 stars","4 stars","3 stars","3 stars","5 stars","3 stars","3 stars","3 stars"
"Japanese Terrier","Nippon Terrier, Nihon Teria, Nihon Terrier, Kobe Terrier, Mikado Terrier, Oyuki (Snowy) Terrier","Small","12-15 years","8-13 inches","","?","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Korean Jindo","Korean Jindo Dog, Chindo, Jindo, Jindo Gae, Jindogae, Jin Dog, Jindo Gu","Medium","12-15 years","Male: 18-25 inches (48-65 cm)","Female: 16-22 inches (41-58 cm)","Average $300 - $400 USD","4 stars","4 stars","1 stars","4 stars","3 stars","3 stars","3 stars","4 stars","2 stars","3 stars","4 stars","3 stars","3 stars","1 stars"
"Karelian Bear Dog","KBD, Karjalankarhukoira, Karelsk Bj?rnhund","Medium","10-12 years","19-23 inches (48-58 cm)","","Average $1000 - $1200 USD","4 stars","2 stars","3 stars","3 stars","3 stars","3 stars","5 stars","4 stars","1 stars","3 stars","3 stars","3 stars","3 stars","1 stars"
"Kishu Ken","Kishu, Kishu Inu","Medium","11-13 years","17-22 inches (43-56 cm)","","Average $300 - $500 USD","4 stars","3 stars","1 stars","4 stars","3 stars","4 stars","5 stars","4 stars","1 stars","3 stars","3 stars","3 stars","3 stars","1 stars"
"Kooikerhondje","Kooiker Dog, Nederlandse Kooikerhondje, Small Dutch Waterfowl Dog","Medium","12-14 years","14-16 inches (36-41 cm)","","Average $600 - $800 USD","5 stars","3 stars","3 stars","4 stars","3 stars","3 stars","4 stars","2 stars","3 stars","3 stars","5 stars","3 stars","2 stars","1 stars"
"Koolie","Australian Koolie, German Koolie, German Coolie","Medium","16-18 years","13-23 inches (34-60 cm)","","Average $400 - $600 USD","4 stars","3 stars","3 stars","4 stars","3 stars","3 stars","4 stars","2 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars"
"Kromfohrlander","L?nder, Kromi","Medium","12-14 years","15-18 inches (38-46 cm)","","Average $400 - $600 USD","4 stars","4 stars","3 stars","4 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","5 stars","3 stars","2 stars","4 stars"
"Lancashire Heeler","Ormskirk Heeler, Ormskirk Terrier","Small","12-15 years","10-12 inches (25-31 cm)","","Average $600 - $800 USD","4 stars","4 stars","3 stars","4 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","4 stars","3 stars","3 stars","2 stars"
"Landseer","Landseer Newfoundland","Giant","9-11 years","Male: 28.5-31.5 inches (72-80 cm)","Female: 26.5-28.5 inches (67-72 cm)","Average $2000 - $2500 USD","3 stars","3 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars","4 stars","3 stars","3 stars","3 stars"
"Lapponian Herder","Lapland Reindeer Dog, Reindeer Herder, Lapinporokoira","Medium","10-12 years","Male: 19?21 inches (48?54 cm)","Female: 17?19 inches (43?49 cm)","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","3 stars"
"McNab","McNab Border Collie, McNab Sheepdog, McNab Herding Dog","Medium","13-15 years","Male: 18-25 inches (45-64 cm)","Female: 16-21 inches (40-54 cm)","Average $300 - $500 USD","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Miniature Bulldog","Bull-Pug, Mini-Bulldog, English Toy Bulldog","Small","9-12 years","Male: 27?35 cm","Female: 25?33 cm","Average $800 - $1200 USD","3 stars","4 stars","1 stars","4 stars","3 stars","3 stars","2 stars","1 stars","3 stars","3 stars","4 stars","3 stars","3 stars","2 stars"
"Mudi","Hungarian Mudi, Canis Ovilis Fenyesi","Medium","12-14 years","15-19 inches (38-48 cm)","","Average $800 - $1000 USD","5 stars","3 stars","5 stars","4 stars","3 stars","3 stars","4 stars","2 stars","2 stars","3 stars","5 stars","3 stars","3 stars","4 stars"
"Small Munsterlander","Kleiner M?nsterl?nder, Vorstehhund, Spion, Heidewachtel","Medium","12-14 years","Male: 20.5?22 inches (52?56 cm)","Female: 19.75?21.25 in (50.2?54.0 cm)","Average $800 - $1000 USD","5 stars","1 stars","3 stars","5 stars","3 stars","5 stars","5 stars","3 stars","2 stars","3 stars","4 stars","3 stars","3 stars","5 stars"
"New Guinea Singing Dog","New Guinea Highland Dog, Singer, NGSD, New Guinea Wild Dog, Hallstrom Dog","Small","16-19 years","14-15 inches (35-38 cm)","","?","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Norrbottenspets","Nordic Spitz, Norrbottenspitz, Pohjanpystykorva","Medium","12-15 years","Male: 17.72 inches (45 cm)","Female: 16.54 inches (42 cm)","Average $600 - $800 USD","3 stars","3 stars","5 stars","4 stars","3 stars","4 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Northern Inuit Dog","NI dog","Medium","12-14 years","Male: 23-32 inches (58-81 cm)","Female: 23-28 inches (58-71 cm)","Average $800 - $1000 USD","4 stars","3 stars","3 stars","4 stars","3 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Olde English Bulldogge","OEB, English Bulldog","Medium","11-13 years","Male: 17-20 inches (43-51 cm)","Female: 16-19 inches (40-48 kg)","Average $1800 - $2500 USD","5 stars","5 stars","1 stars","4 stars","3 stars","3 stars","2 stars","1 stars","3 stars","3 stars","2 stars","3 stars","3 stars","2 stars"
"Pakistani Mastiff","Bully Kutta, Sindhi Mastiff, Bully","Giant","8-10 years","32-40 inches (81-101 cm)","","Average $800 - $1200 USD","3 stars","3 stars","2 stars","2 stars","2 stars","2 stars","3 stars","1 stars","2 stars","3 stars","2 stars","1 stars","2 stars","4 stars"
"Patterdale Terrier","Black Fell Terrier","Small","11-14 years","12-15 inches","","Average $500 - $700 USD","4 stars","1 stars","3 stars","4 stars","3 stars","3 stars","5 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","1 stars"
"Perro de Presa Canario","Canary Catch Dog, Canarian Molosser, Presa Canario, Dogo Canario, Presa, Canary Mastiff","Large","9-11 years","21-25 inches (55-65 cm)","","Average $1200 - $3000 USD","2 stars","1 stars","2 stars","2 stars","1 stars","1 stars","3 stars","2 stars","4 stars","3 stars","3 stars","1 stars","2 stars","3 stars"
"Perro de Presa Mallorquin","Ca de Bou, Mallorquin Mastiff, Mallorquin Bulldog, Perro Dogo Mallorquin, Majorca Mastiff, Majorcan Bulldog, Silverbacks","Medium","10-12 years","Male: 21-22 inches (55-58 cm)","Female: 20-21 inches (52-55 cm)","Average $800 - $1000 USD","2 stars","1 stars","2 stars","2 stars","1 stars","1 stars","3 stars","2 stars","4 stars","3 stars","3 stars","1 stars","2 stars","3 stars"
"Peruvian Inca Orchid","Flower Dog, Inca Hairless Dog, Viringo, Dielmatian, Perro Sin Pelo del Per","Medium","11-13 years","Small: 25?40 cm (10?16 inches)","Medium: 40?50 cm (16?20 inches)","Average $400 - $600 USD","4 stars","3 stars","2 stars","4 stars","3 stars","4 stars","3 stars","1 stars","3 stars","3 stars","2 stars","1 stars","3 stars","5 stars"
"Picardy Spaniel","?pagneul Picard","Large","12-14 years","22?24 inches (56?61 cm)","","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","3 stars","3 stars","0 stars","0 stars","0 stars","0 stars"
"Plummer Terrier","None","Small","12-15 years","Male: 13-14 inches (32?36 cm)","Female: 11-13 inches (28?34 cm)","Average $500 - $700 USD","3 stars","3 stars","2 stars","4 stars","3 stars","4 stars","4 stars","2 stars","3 stars","3 stars","3 stars","2 stars","4 stars","3 stars"
"Portuguese Pointer","Perdigueiro Portugues, Portuguese Pointing Dog","Medium","12-14 years","Male: 20?24 inches (51?61 cm)","Female: 19?22 inches (48?56 cm)","Average $800 - $1000 USD","2 stars","1 stars","2 stars","3 stars","2 stars","3 stars","4 stars","2 stars","2 stars","3 stars","2 stars","2 stars","3 stars","3 stars"
"Prazsky Krysarik","Prague Ratter","Small","12-15 years","7-9 inches (19-22 cm)","","Average $500 - $700 USD","4 stars","4 stars","2 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","4 stars","2 stars","3 stars","3 stars"
"Pudelpointer","None","Large","9-11 years","21-26 inches (53-66 cm)","","Average $800 - $1000 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Pumi","Hungarian Pumi, Hungarian Herding Terrier","Medium","12-15 years","Male: 16-19 inches (41-47 cm)","Female : 14-17 inches (38-44 cm)","Average $800 - $1000 USD","5 stars","3 stars","5 stars","4 stars","3 stars","3 stars","4 stars","3 stars","2 stars","3 stars","5 stars","3 stars","2 stars","4 stars"
"Rafeiro do Alentejo","Alentejo Mastiff, Portuguese Mastiff, Mutt of Alentejo","Large","10-12 years","Male: 27-28 inches (66-75 cm)","Female: 25-28 inches (64-70 cm)","Average $800 - $1000 USD","3 stars","1 stars","2 stars","4 stars","2 stars","2 stars","2 stars","2 stars","2 stars","3 stars","1 stars","3 stars","1 stars","1 stars"
"Rajapalayam","Poligar hound, Indian Sight-Hound","Large","10-12 years","25?30 inches (65?75 cm)","","Average $200 - $300 USD","3 stars","2 stars","2 stars","3 stars","1 stars","2 stars","3 stars","2 stars","3 stars","3 stars","3 stars","1 stars","1 stars","2 stars"
"Russian Spaniel","Rosyjski Spaniel","Small","14-16 years","Male: 15?17.75 inches (38.1?45.1 cm)","Female: 15?17.75 inches (38.1?45.1 cm)","Average $300 - $500 USD","4 stars","4 stars","3 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Russian Toy","Russian Toy Terrier, Russian Terrier, Moscow Toy Terrier, Moscovian Miniature Terrier","Small","11-13 years","8-10 inches (20-26 cm)","","Average $600 - $800 USD","4 stars","4 stars","4 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","5 stars","2 stars","3 stars","3 stars"
"Saarloos wolfdog","Saarloos Wolfhound","Large","10-12 years","24-29.5 inches (60-75 cm)","","Average $800 - $1000 USD","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","5 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars"
"Sapsali","Sapsal Gae, Sapsaree, Exorcising Dog, Ghost Hunting Clever Dog","Medium","11-13 years","Male: 50?60 cm (20?24 in)","Female: 48?58 cm (19?23 in)","Average $300 - $500 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Sarplaninac","Yugoslavian Shepherd Dog","Large","11-13 years","22-24 inches (56-61 cm)","","Average $800 - $1000 USD","3 stars","1 stars","2 stars","3 stars","2 stars","3 stars","5 stars","2 stars","4 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Schapendoes","Dutch Schapendoes, Nederlandse Schapendoes","Medium","12-14 years","15-19 inches (40-50 cm)","","Average $500 - $700 USD","3 stars","2 stars","2 stars","4 stars","4 stars","4 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","4 stars","3 stars"
"Seppala Siberian Sleddog","?","Medium","12-16 years","22-23 inches (56-58 cm)","","Average $600 - $800 USD","3 stars","1 stars","2 stars","3 stars","3 stars","3 stars","4 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","4 stars"
"Shikoku dog","Kochi-ken, Mikawa Inu, Japanese Wolfdog","Medium","10-12 years","7-21 inches (46-52 cm)","","Average $500 - $700 USD","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Shiloh Shepherd dog","Shiloh","Giant","12-14 years","28-30 inches (71-76 cm)","","Average $800 - $1000 USD","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","4 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Silken Windhound","Silken","Medium","16-20 years","18-23.5 inches (46-60 cm)","","Average $800 - $1000 USD","4 stars","4 stars","2 stars","4 stars","3 stars","3 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Sloughi","Berber Greyhound, Sloughi Moghrebi","Medium","12-15 years","Male: 26.4-28.3 inches (66-72 cm)","Female: 24-26.7 inches (61-68 cm)","Average $800 - $1000 USD","1 stars","3 stars","2 stars","4 stars","1 stars","3 stars","3 stars","1 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars"
"Smaland Hound","Sm?landsst?vare","Medium","12-14 years","Male: 18?21 inches (46?53 cm)","Female: 17?20 inches (43?51 cm)","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"South Russian Ovcharka","Ioujnorousska?a Ovtcharka, South Russian Sheepdog, Ukrainian Ovcharka, Yuzhak, South Ukrainian Ovcharka, South Russian Shepherd Dog","Large","9-11 years","Male: 25 inches (65 cm)","Female: 24 inches (62 cm)","Average $800 - $1000 USD","5 stars","3 stars","2 stars","3 stars","3 stars","3 stars","4 stars","4 stars","2 stars","3 stars","2 stars","3 stars","3 stars","3 stars"
"Pont-Audemer Spaniel","Epagneul Pont-Audemer, Setter of Pont-Audemer","Medium","12-14 years","20-23 inches (50-58 cm)","","Average $500 - $700 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Spanish Mastiff","Mast?n Espa?ol, Mast?n de Espa?a, Mastin de la Mancha, Mastin de Extremadura, Mastin de Leon","Giant","10-12 years","28-35 inches (72-88 cm)","","Average $600 - $800 USD","3 stars","1 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Serbian Hound","Balkan Hound, Srpski goni?, Balkanski goni?","Medium","12-14 years","Male: 18?22 inches (46?56 cm)","Female: 17.5?21.5 inches (44?54 cm)","Average $500 - $700 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Swedish Lapphund","None","Medium","10-13 years","Male: 18-20 inches (45-51 cm)","Female: 16-18 inches (40-46 cm)","Average $400 - $600 USD","5 stars","2 stars","5 stars","5 stars","5 stars","5 stars","4 stars","3 stars","1 stars","3 stars","5 stars","5 stars","2 stars","3 stars"
"Tamaskan Dog","Tamaskan husky, Tam","Large","14-16 years","Male: 25-28 inches (63-71 cm)","Female: 24-27 inches (61-66 cm)","Average $600 - $800 USD","3 stars","1 stars","2 stars","4 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Thai Bangkaew Dog","TBD, Bangkaew","Medium","10-12 years","Male: 18-22 inches (45-56 cm)","Female: 17-21 inches (44-54 cm)","Average $400 - $600 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Thai Ridgeback","Mah Thai, Thai Dog, Mah Thai Lung Arn","Medium","11-13 years","Male: 22-24 inches (56-60 cm)","Female: 20-22 inches (51-56 cm)","Average $600 - $800 USD","5 stars","3 stars","2 stars","4 stars","1 stars","2 stars","4 stars","1 stars","2 stars","3 stars","3 stars","3 stars","1 stars","2 stars"
"Tornjak","Bosnian Shepherd Dog, Croatian Mountain Dog, Bosnian and Herzegovinian Shepherd Dog","Large","10-12 years","Male: 25-27 inches (65-70 cm)","Female: 23-25 inches (60-65 cm)","Average $600 - $800 USD","4 stars","1 stars","2 stars","4 stars","3 stars","3 stars","3 stars","4 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Tosa","Tosa Inu, Tosa Ken, Tosa T?ken, Japanese Fighting Dog, Japanese Mastiff, Tosa Fighting Dog, Japanese Tosa","Large","10-12 years","22-24 inches (56-60 cm)","","Average $600 - $800 USD","2 stars","1 stars","2 stars","3 stars","2 stars","1 stars","2 stars","1 stars","2 stars","3 stars","3 stars","3 stars","1 stars","2 stars"
"Karst Shepherd","?","Medium","11-12 years","Male: 22-25 inches (57-63 cm)","Female: 21-24 inches (54-60 cm)","Average $800 - $1000 USD","3 stars","1 stars","2 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars"
"Transylvanian Hound","Erd?lyi kop?, Hungarian Hound, Transylvanian Scent Hound","Medium","10-12 years","22-26 inches (55-65 cm)","","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Volpino Italiano","Cane de Quirinale, Florentine Spitz, Italian Spitz, Volpino","Small","14-16 years","9.5-12 inches (24?30 cm)","","Average $600 - $800 USD","4 stars","4 stars","4 stars","4 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"West Siberian Laika","Zapadno-Sibirska?a La?ka","Medium","14-16 years","Male: 22-24 inches (56-61 cm)","Female: 21-23 inches (53-58 cm)","Average $600 - $800 USD","4 stars","2 stars","2 stars","4 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","4 stars"
"Wetterhoun","Frisian Water Dog, Dutch Spaniel, Otterhoun","Medium","12-14 years","21.5-23 inches (55-59 cm)","","Average $500 - $700 USD","3 stars","1 stars","2 stars","4 stars","3 stars","3 stars","4 stars","1 stars","2 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Alaskan Husky","None","Medium","10-15 years","20-24 inches (51-61 cm)","","Average $1000 - $1500 USD","5 stars","1 stars","4 stars","3 stars","1 stars","5 stars","5 stars","3 stars","2 stars","3 stars","5 stars","3 stars","5 stars","2 stars"
"Alopekis","Alopecis, Alepouditsa, Bobis, Bouboudi, Moropa, Venetaki","Small","14-16 years","Male: 10-13 inches (25-32 cm)","Female: 9-12 inches (23-30 cm)","Average $300 - $500 USD","4 stars","2 stars","2 stars","4 stars","4 stars","4 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","5 stars"
"American Bulldog","AmBulldog, AM Bulldog, American Bulldogge, American Bulldoggee, Old Country Bulldog","Medium","10-12 years","Male: 22-28 inches (55-70 cm)","Female: 20-26 inches (52-65 cm)","Average $700 - $900 USD","4 stars","3 stars","2 stars","4 stars","2 stars","3 stars","3 stars","1 stars","2 stars","3 stars","4 stars","3 stars","2 stars","5 stars"
"Andalusian Hound","Andalusian Podenco, Podenco Andaluz, Podenco Andalusian, Podenco Maneto Andalusian","Small","10-12 years","Small: 12-17 inches (30-43 cm)","Medium: 16-21 inches (40-53 cm)","Average $300 - $500 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Basset Artesien Normand","Basset Art?sien Normand, BAN","Small","13-15 years","12-14 inches (30-36 cm)","","Average $300 - $500 USD","5 stars","5 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Beagle-Harrier","Beagle Harrier, French Beagle-Harrier","Medium","12-14 years","18-20 inches (45-50 cm)","","Average $400 - $600 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Beaglier","None","Small","13-15 years","12-16 inches (30.5-40 cm)","","Average $800 - $1200 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Bolognese dog","Bichon Bolognese, Bolognese Toy Dog","Small","13-15 years","Males: 10.5-12 inches (27-30 cm)","Female: 10-11 inches (25-28 cm)","Average $1200 - $1500 USD","5 stars","5 stars","3 stars","4 stars","5 stars","5 stars","2 stars","5 stars","3 stars","3 stars","3 stars","1 stars","5 stars","3 stars"
"Bull Arab","Aussie Pig Dog, Australian Pig Dog","Large","12-15 years","Male: 25-27 inches (63?69 cm)","Female: 24-26 inches (61?66 cm)","Average $300 - $400 USD","3 stars","4 stars","2 stars","4 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Mountain Feist","Treeing Feist, American Treeing Feist, American Feist, Mountain Terrier","Small","10-15 years","12-18 inches (30-45 cm)","","Average $300 - $400 USD","3 stars","3 stars","4 stars","3 stars","2 stars","3 stars","4 stars","2 stars","2 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Texas Heeler","Aussie Shepherd Heeler","Medium","13-15 years","17-22 inches (43?61 cm)","","Average $200 - $400 USD","3 stars","2 stars","1 stars","3 stars","2 stars","3 stars","3 stars","1 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Chippiparai","None","Medium","12-15 years","~25 inches (~63.5 cm)","","Average $80 - $120 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Chizer","Schnauchi, Schnizer","Small","12-15 years","6-14 inches (15-36 cm)","","Average $300 - $400 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
